response_id,condition,in_school,work_hours,has_job,job_satis,toi_1,toi_2,toi_3,skil_aq_1,skil_aq_2,skil_aq_3,job_avail,sksh_pre,passion_1,passion_2,passion_3,job_year,js_intent_1,js_intent_2,js_intent_3,js_intent_4,js_intent_5,js_intent_6,tr_int_ex_1,tr_int_ex_2,tr_int_in_1,tr_int_in_2,expectancy_1,expectancy_2,bls_link,satis_post,male,race,highest_ed,sksh_post,age,study_ID
R_2tvncFXvQN6bheB,supply,0,3,0,2,3,3,3,3,4,4,2,3,6,2,2,3,2,3,3,3,3,3,2,2,2,2,4,4,1,2,0,1,4,4,35,js_5
R_bqtj59jaM3Ztj5H,supply,0,3,0,5,2,2,2,6,6,6,6,6,5,4,5,3,3,3,3,3,3,3,3,3,3,2,5,5,0,5,1,1,3,3,23,js_5
R_bacZKchCAeYHnWB,music,0,6,1,5,4,4,4,6,6,6,6,5,7,3,3,2,1,2,2,1,1,2,3,3,4,4,3,3,0,5,1,1,3,3,35,js_5
R_54mYDon0bgviNSZ,treatment,0,6,1,5,4,4,4,5,5,6,3,5,5,5,4,2,2,1,1,1,2,2,2,2,4,3,6,5,0,5,0,1,7,5,26,js_5
R_eQxEbdZeeSV3kb3,treatment,1,3,0,3,4,3,3,6,6,6,4,5,6,3,3,4,4,4,4,3,4,4,2,2,3,3,5,2,1,3,1,4,3,5,24,js_5
R_9plOz6U86SfSuUJ,treatment,0,6,1,1,3,3,3,6,6,6,3,6,4,4,2,5,4,4,4,4,4,4,3,3,3,1,7,7,1,1,1,2,3,6,35,js_5
R_8B1hN77b7WFhWGp,treatment,0,5,1,2,2,2,2,5,5,5,1,6,4,3,3,4,4,4,3,2,2,3,4,2,3,3,5,3,0,2,1,1,3,2,31,js_5
R_6Jv0t3PTUNHgypf,supply,0,4,1,1,3,3,3,5,5,5,3,5,4,4,4,4,4,4,4,4,4,4,4,3,4,NA,5,5,0,2,1,3,6,3,25,js_5
R_9BGK5TDgodmn0Sp,supply,0,6,1,6,2,2,2,7,7,7,6,4,4,6,5,1,1,1,1,1,1,2,1,1,3,3,5,2,1,6,0,1,3,3,28,js_5
R_9mLXjxcZbU7c2IR,treatment,0,4,1,2,4,4,4,6,6,5,3,4,3,6,6,2,2,3,2,2,2,2,1,2,3,3,6,6,0,3,1,4,6,6,22,js_5
R_eFAoaEN78DpCoZf,treatment,0,2,1,5,3,3,3,6,6,7,6,6,6,4,4,4,2,2,2,3,3,3,1,1,2,2,6,5,1,5,0,1,5,6,53,js_5
R_e58Caxw0DS9mlFj,treatment,1,6,1,6,6,6,6,6,7,7,5,6,7,3,3,2,2,1,1,1,3,2,3,2,2,3,5,5,1,5,1,1,3,7,32,js_5
R_6hDNVwIcmwnT6ol,music,0,2,0,7,2,2,2,3,5,6,6,7,6,5,6,1,1,1,1,1,1,1,1,1,1,1,4,6,1,7,0,1,7,7,65,js_5
R_blsO3EYont8IoaF,treatment,1,5,1,4,1,1,1,7,7,7,4,7,7,1,7,5,5,5,5,5,5,5,5,5,5,5,7,7,1,4,1,1,3,7,24,js_5
R_0vqC4saIdO9sL7n,music,0,1,0,3,3,3,3,6,6,6,3,5,6,3,3,3,2,4,2,2,3,3,2,2,3,3,4,3,1,3,0,1,6,3,25,js_5
R_8BA6X95enHOvOVn,music,0,6,1,6,3,3,3,5,5,6,2,3,6,2,2,2,1,2,1,1,2,2,2,2,2,2,6,5,0,6,1,1,6,3,32,js_5
R_bgEzBpdreciS2lD,music,0,3,0,3,3,2,3,2,6,6,3,4,6,3,2,5,4,2,5,3,3,5,1,1,5,5,7,7,0,3,0,1,6,4,24,js_5
R_9plQrA9KaWULPFP,supply,1,5,1,5,3,4,2,5,3,4,3,5,5,3,5,2,4,2,4,3,2,3,3,4,2,4,4,5,0,3,1,4,3,3,25,js_5
R_e8IVI2r8UJTlorz,treatment,0,5,1,5,2,2,2,6,6,6,6,5,6,4,4,5,3,4,4,3,4,4,1,1,2,3,7,7,0,5,1,4,6,4,32,js_5
R_7QTZNjvZFqgCxCJ,music,0,4,1,4,4,4,4,7,7,7,2,2,4,4,2,4,2,3,2,2,2,2,1,1,3,3,4,4,0,4,0,1,3,3,51,js_5
R_4OXCjbqObQe3UGx,music,0,4,0,4,4,4,4,4,5,6,4,5,5,4,3,3,3,4,3,2,4,4,1,1,4,4,3,3,0,3,1,3,3,5,21,js_5
R_5BGnLsUdtfWLQm9,treatment,0,4,0,1,5,5,5,5,6,7,2,5,6,5,5,5,3,5,3,2,5,5,3,3,2,2,6,6,1,1,0,1,6,7,34,js_5
R_eyUZBsSkUXGiWYl,music,0,6,1,7,4,4,4,5,5,7,4,4,7,2,2,2,3,2,1,1,1,2,3,3,3,4,6,6,0,7,1,1,6,4,37,js_5
R_elza0bD0H1BoIGF,treatment,0,5,1,6,3,3,3,5,5,6,5,4,5,6,4,1,1,3,2,1,2,4,2,1,2,2,6,5,1,6,1,2,6,5,26,js_5
R_aXEbMjFfK3C8xNj,supply,0,4,1,6,2,2,2,5,5,7,7,7,5,3,3,2,1,1,1,1,1,1,2,1,3,1,3,3,0,5,0,1,8,6,67,js_5
R_6DQLMTFwqFPn6WV,supply,0,5,1,5,3,3,3,6,6,7,5,5,5,3,6,3,2,1,1,1,2,2,1,1,2,2,5,5,1,5,1,3,6,3,46,js_5
R_8uEPcCHieuXBVBj,music,0,6,1,7,2,2,2,5,7,7,4,4,6,2,1,1,1,1,1,1,1,1,2,3,3,1,1,1,0,7,0,1,2,3,61,js_5
R_8HuaCOnNAE9TwTb,supply,0,3,1,7,2,2,2,6,6,6,3,5,6,2,6,2,1,2,1,1,2,2,1,1,1,2,7,7,1,7,1,1,3,5,29,js_5
R_5z0SVs03aD3QyJn,supply,0,6,1,4,5,5,5,5,5,5,5,5,2,6,6,2,2,2,1,1,2,2,3,1,2,2,1,1,0,4,0,1,6,3,34,js_5
R_cMSoVXtz99R7EAB,supply,0,6,1,2,6,5,5,5,5,6,4,6,4,5,6,5,2,2,3,2,4,4,5,5,3,3,6,6,1,2,0,1,6,6,32,js_5
R_40LDFirAeqUa5I9,supply,0,5,0,6,4,5,4,7,6,7,3,3,5,4,3,2,1,1,1,1,2,2,1,1,1,1,5,5,0,6,0,1,3,2,41,js_5
R_bvDyUp8wHK8uDFr,treatment,0,6,1,5,4,3,1,7,6,6,5,6,7,2,6,4,3,2,4,2,3,3,1,1,3,3,6,6,1,5,1,1,4,5,31,js_5
R_3fwPrDQaXe2AC2x,music,0,4,1,3,4,4,5,7,6,6,3,3,6,7,5,5,4,3,3,4,5,5,2,1,4,4,7,5,1,2,0,2,6,5,22,js_5
R_9F6m4SdCPo5r7sp,music,0,5,1,6,4,4,4,6,5,6,6,4,5,3,5,2,1,2,1,1,1,2,3,2,3,3,6,6,1,6,0,1,6,3,32,js_5
R_72Pk83ZZmVqXzsV,supply,0,6,1,6,5,4,4,7,6,7,3,7,4,4,2,2,1,1,1,1,1,2,2,4,4,4,7,7,0,5,0,1,6,3,22,js_5
R_eKvlnili09gIgTz,supply,1,3,0,6,3,2,3,5,5,6,6,5,4,4,3,2,4,3,2,1,1,1,5,4,3,3,6,6,0,6,1,1,3,3,20,js_5
R_0rqa7tUULEumdkV,supply,0,5,1,6,4,2,2,5,5,6,5,6,6,4,5,2,3,2,3,3,4,4,3,2,2,3,3,NA,0,6,0,6,6,6,28,js_5
R_9KSpIyFkhIdQ9h3,music,1,6,1,5,1,1,1,7,7,7,2,2,5,2,2,3,2,2,2,2,2,3,2,2,3,3,5,5,0,5,0,1,3,2,23,js_5
R_8vMdbWn1B3HYtiR,treatment,0,5,0,4,1,1,1,7,7,7,3,3,5,3,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,2,2,3,31,js_5
R_6hWKn1HipExIdcF,music,1,2,1,2,5,4,4,6,7,7,5,6,6,3,3,5,2,4,3,2,4,4,4,2,3,3,6,5,0,2,1,1,3,6,25,js_5
R_2honEJH6dRjnB2d,music,0,5,1,3,4,3,3,5,5,7,5,6,6,2,1,5,3,2,4,4,5,4,2,2,2,2,6,5,1,3,1,1,3,6,27,js_5
R_5dW2HoIDDw68fQ1,music,0,5,1,5,3,3,4,7,6,6,5,3,5,4,3,2,3,2,3,1,2,3,3,1,3,2,6,5,1,5,1,2,6,4,43,js_5
R_5711OtEfBznYSa1,supply,0,6,1,6,2,2,2,5,5,6,2,2,4,5,6,4,4,3,3,4,4,4,1,1,1,2,6,6,1,4,1,1,6,2,52,js_5
R_ernr3KSfjSsYToF,treatment,0,4,0,3,5,5,4,7,7,7,6,6,6,5,5,4,3,3,3,3,3,4,2,2,2,2,5,4,0,3,0,1,3,5,25,js_5
R_5BTWL5iUcotR4kB,supply,1,2,0,1,5,4,4,7,6,3,1,7,5,5,3,5,4,5,5,3,5,4,5,2,5,5,3,7,1,1,1,1,3,6,21,js_5
R_5yE1rm6LcpX9QaN,music,0,6,1,6,6,6,5,5,6,7,5,2,3,7,6,1,1,1,1,1,2,1,1,1,1,2,5,6,1,6,1,1,6,2,30,js_5
R_brNDCUmqP4pQoYt,music,1,4,0,2,2,2,2,7,7,7,7,7,6,2,2,5,3,4,4,3,4,5,4,1,3,3,7,7,1,2,1,1,3,5,22,js_5
R_b8vRSdelBXz24Qd,treatment,1,2,1,2,2,2,2,5,5,5,7,7,7,2,4,5,5,5,5,5,5,5,3,3,4,5,6,7,1,2,0,2,6,7,23,js_5
R_3BLvzbwyTAsgupL,music,0,5,1,6,4,4,4,6,5,6,5,4,6,4,4,3,2,2,2,2,2,2,1,1,2,2,6,6,1,6,1,1,6,3,25,js_5
R_0xHexFxAuEqaFnL,supply,1,3,1,3,2,1,1,7,7,7,4,4,6,2,2,5,3,4,2,3,4,3,5,4,4,5,4,5,0,3,1,1,3,3,21,js_5
R_aaXBA6CdZO4LxyJ,treatment,0,6,1,3,5,5,5,5,6,5,5,6,5,3,3,5,4,4,5,4,4,4,1,1,3,4,5,3,1,2,1,1,7,2,36,js_5
R_dcyKXr5Fl52HUyN,supply,0,5,1,5,5,5,5,5,5,5,5,5,5,4,3,2,2,2,2,1,2,2,1,1,2,2,5,5,0,5,1,1,7,5,37,js_5
R_4GhXGvaCCCHpBFb,supply,0,6,1,3,3,3,3,6,5,7,6,7,5,3,3,3,3,3,2,2,3,3,4,4,3,3,5,4,0,3,0,1,6,6,32,js_5
R_e3RKXHt6NAyBJjL,treatment,0,2,0,4,5,5,5,5,5,7,5,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,0,4,0,1,6,5,52,js_5
R_4ZvrF03JZnbM0xD,music,1,5,1,3,3,2,2,5,5,5,2,5,5,3,2,4,3,4,4,3,5,4,2,3,4,4,5,5,0,3,1,1,3,3,33,js_5
R_0VtsKqFgtcqmkpD,treatment,0,1,0,4,5,5,2,6,6,6,2,6,6,6,6,1,2,2,2,2,2,2,2,2,2,3,7,7,0,4,1,3,3,6,25,js_5
R_dgxP6rFE7lKDSPX,music,0,6,1,1,5,5,5,5,5,5,4,4,2,6,7,5,3,3,4,4,4,4,1,1,1,1,6,6,1,1,1,1,7,3,25,js_5
R_3jHNMnZ3Y5Jttgp,supply,1,4,1,5,4,4,4,6,6,6,5,2,5,4,5,3,2,2,2,1,4,2,1,1,1,1,5,5,0,6,1,1,6,2,23,js_5
R_0GvrwsYiV00h8i1,music,0,3,0,2,4,2,4,5,6,6,4,5,5,3,5,5,2,4,2,2,2,3,3,2,3,4,5,5,0,2,1,1,3,5,26,js_5
R_4HJPALWNj1qrah7,music,1,3,1,6,4,4,5,7,7,7,3,5,5,6,6,4,2,4,4,4,1,3,5,4,5,5,6,6,0,5,0,1,3,2,21,js_5
R_b1PaEDzbN8wjdwp,treatment,0,4,0,6,2,2,2,5,6,6,6,6,6,5,4,4,3,2,3,2,5,3,3,3,4,3,5,6,1,5,1,1,3,6,60,js_5
R_eRJCif7J664B0Zn,supply,0,6,1,3,2,2,2,6,6,6,4,4,6,2,2,2,1,1,1,NA,1,1,2,1,2,2,4,4,0,6,0,1,5,4,39,js_5
R_0D22unZu5FGBMsl,treatment,1,3,1,6,2,2,2,7,7,7,5,6,6,3,2,5,3,3,4,3,4,4,3,3,4,4,6,6,0,5,1,1,3,6,22,js_5
R_2ogW321rxygzrGR,music,1,3,0,4,3,3,3,7,6,7,5,7,7,3,2,1,1,1,1,1,1,1,4,4,3,3,4,4,0,6,0,1,3,6,56,js_5
R_5gmVx7PQHpMnwnX,treatment,0,4,0,2,2,2,2,6,6,6,3,5,4,3,2,2,1,4,3,3,4,3,2,2,3,3,4,3,1,3,0,1,6,6,61,js_5
R_7QwJb5xnp4AhRGZ,supply,0,2,0,2,5,4,4,5,6,6,1,4,4,7,7,1,1,3,1,1,4,4,1,1,1,1,1,4,0,2,0,1,3,4,34,js_5
R_2cykja6reyFX0YR,treatment,0,6,1,5,2,2,2,6,6,6,4,4,6,2,2,5,4,3,2,2,3,4,3,3,4,4,5,5,1,5,1,1,6,5,23,js_5
R_d1k50Zcre8kK6SV,treatment,0,2,0,3,4,3,3,5,4,4,3,3,5,3,4,4,2,2,2,2,2,2,2,2,3,3,4,4,0,4,1,1,6,5,21,js_5
R_eDroRMxNZrTfUJn,supply,1,4,1,5,5,4,4,6,6,6,3,7,4,4,4,2,3,2,1,1,2,3,1,2,2,2,3,3,0,3,1,4,3,5,18,js_5
R_3raE9c6ldrUORBr,music,1,5,1,6,4,4,4,5,5,6,4,5,5,2,3,2,2,2,1,1,2,2,3,3,2,3,5,4,0,6,0,1,3,5,25,js_5
R_3vLFIIjoPXbv8Jn,music,1,4,1,6,5,5,5,3,5,6,6,6,7,3,3,2,2,1,1,1,1,1,2,2,4,4,6,6,1,6,0,1,6,2,22,js_5
R_5zfZdwaVBLsSwjH,supply,0,6,0,2,4,4,4,7,7,7,4,6,6,3,3,5,5,5,5,5,5,5,1,1,3,4,6,6,0,2,1,7,6,5,27,js_5
R_0IHkmSYTq6bmfIh,treatment,0,5,1,3,5,5,4,3,5,6,4,3,7,3,5,3,3,3,2,1,3,3,1,1,2,2,4,2,1,4,1,1,3,4,26,js_5
R_6JMWwspSTXGy4hn,music,0,6,1,4,2,2,2,5,6,6,6,3,6,2,2,3,2,2,2,2,2,2,1,1,1,1,5,5,0,4,0,1,3,2,32,js_5
R_1BrkxRbFt40BGip,supply,1,4,1,5,3,3,3,5,5,5,5,4,6,2,2,4,4,3,2,2,3,3,2,2,3,3,6,6,0,5,0,1,3,4,21,js_5
R_87ywMQGNAGrWaZD,supply,0,5,1,5,4,4,4,7,7,7,3,5,5,5,5,3,2,2,2,2,2,2,1,1,3,3,5,3,1,5,0,1,6,3,36,js_5
R_cC3Q462xJB1Yyup,treatment,0,6,1,2,4,4,4,7,7,4,3,7,5,7,3,4,4,4,5,4,4,4,4,4,4,4,7,7,1,3,1,1,3,5,22,js_5
R_01TLeVi7SVELvEx,supply,0,2,1,3,6,6,6,7,7,1,1,2,6,3,6,1,1,1,1,1,1,1,1,1,1,1,5,5,0,5,1,1,6,1,42,js_5
R_4TtyGSGwK0PVHj7,supply,0,3,1,3,3,3,3,5,7,7,6,2,6,2,2,5,4,3,3,2,3,4,1,1,2,2,6,6,1,3,0,1,7,1,26,js_5
R_50VVsGdd9jyNZ9r,treatment,0,4,0,2,2,1,2,6,5,6,1,7,5,5,5,5,3,4,4,4,4,4,4,4,3,4,6,3,1,1,0,1,3,6,29,js_5
R_b1vTciUNrVZoJ9z,music,0,6,1,4,2,2,2,5,6,5,3,6,5,3,2,3,3,3,3,3,3,3,2,2,3,3,5,5,1,4,0,3,6,4,32,js_5
R_8H7U8PNztaJO5Xn,supply,1,5,1,3,4,3,4,6,6,6,4,5,5,3,2,2,3,2,1,1,1,2,4,4,3,3,5,2,1,3,0,3,3,4,30,js_5
R_3CzCnZ8mujBX5LD,treatment,0,2,0,7,2,2,2,6,6,6,6,7,4,4,3,1,1,2,1,1,2,2,1,1,1,1,5,5,0,6,0,1,3,6,63,js_5
R_eVdywBsSIrzkIKN,music,0,5,1,6,1,1,1,7,7,7,7,5,7,5,4,1,1,1,1,1,1,1,3,1,3,3,7,7,1,7,0,1,2,5,26,js_5
R_8G3LKOUVZ20FseF,treatment,0,6,1,5,4,4,4,5,7,6,2,2,6,2,4,1,2,1,1,1,2,2,2,2,3,4,5,4,0,5,1,1,8,6,35,js_5
R_d0UXloaOlMVWHqZ,music,0,5,1,2,4,4,4,3,2,4,2,4,5,3,4,3,3,2,2,2,3,3,1,1,1,1,5,5,1,2,0,1,6,4,35,js_5
R_eao7czeJf5Qs3Od,music,0,6,1,6,2,2,1,5,6,5,3,5,5,5,5,2,3,2,2,1,1,2,3,2,3,3,5,5,0,6,1,1,3,5,38,js_5
R_0rcpUfocW8wjYup,music,0,6,1,4,3,3,3,6,6,7,6,7,5,7,5,1,1,3,3,1,3,3,1,1,3,4,6,6,0,7,0,2,7,7,45,js_5
R_e4Bjsrl7kOEvEZ7,supply,0,4,0,5,5,5,5,6,6,6,3,5,5,4,3,2,1,2,1,1,2,1,1,1,1,1,5,5,0,5,0,1,6,5,64,js_5
R_1FSYtq0NUINQQVD,music,1,5,0,3,5,5,5,6,6,6,2,3,2,6,6,3,4,4,3,2,4,3,4,4,4,3,5,5,0,3,1,4,3,6,19,js_5
R_6stTTPQ5hp6gWjP,treatment,0,6,1,3,3,3,3,3,5,5,1,5,6,3,5,3,3,2,1,1,3,3,1,1,3,2,6,5,0,3,1,1,7,5,25,js_5
R_8tREOquEiVdKnpb,treatment,0,6,1,5,5,5,5,5,5,6,5,6,6,3,5,2,2,2,2,2,3,3,3,3,2,2,3,3,1,5,1,1,6,6,42,js_5
R_cMd3hYtWyG2TA45,treatment,0,1,0,5,4,4,4,7,6,7,7,2,6,3,1,5,3,3,2,1,3,4,1,1,1,3,6,6,1,6,0,1,7,5,31,js_5
R_4YjwCZXB6ZRLirH,treatment,0,5,0,2,3,2,1,3,4,5,2,6,5,6,2,5,2,4,4,3,3,2,4,4,4,4,5,5,0,2,0,1,2,6,32,js_5
R_a32ioU0F1S9A4fj,music,0,3,0,2,3,5,2,6,6,6,5,5,6,3,3,5,4,4,4,4,4,4,1,1,2,4,6,6,0,2,1,1,3,5,21,js_5
R_51iRIUWZOtD31TD,treatment,0,4,1,6,4,3,3,4,5,5,3,6,6,4,2,4,2,2,3,3,3,3,1,1,2,2,6,5,0,6,1,1,7,5,29,js_5
R_0ktq9wuauSiKbLT,supply,0,6,1,7,1,1,1,7,7,7,7,6,7,1,5,2,2,2,1,2,3,3,1,3,5,5,7,7,1,7,1,1,3,5,26,js_5
R_9oVzbsKryZW9O73,supply,0,6,1,4,5,3,3,6,6,6,2,3,5,7,7,4,4,3,4,4,4,4,1,1,3,3,7,7,1,3,1,1,3,2,26,js_5
R_9HK13Bt3t1RQzOZ,treatment,0,6,1,7,3,1,1,7,7,7,3,6,7,2,2,5,5,5,5,5,5,5,5,5,5,5,7,7,1,6,0,1,2,7,34,js_5
R_72L2SBjAWr5JbsV,treatment,0,4,0,2,5,5,5,7,7,7,2,7,7,4,4,5,4,4,3,3,5,4,3,3,4,4,6,7,1,1,0,1,2,5,33,js_5
R_bIBn89ikYw0PSkt,supply,0,6,1,5,4,5,4,5,6,5,6,6,5,3,3,2,2,1,1,1,1,2,1,1,2,2,6,6,1,5,1,1,6,3,24,js_5
R_3lvpTfAMW5EtlyJ,treatment,0,1,0,6,1,1,1,3,6,7,4,5,6,2,2,1,4,5,5,4,4,4,5,5,4,4,5,5,1,2,0,1,3,5,28,js_5
R_0ccNcBN4uhTNEhL,music,0,5,1,2,2,2,2,6,6,6,5,5,2,6,4,5,5,4,4,5,4,4,1,1,2,3,6,5,0,1,1,1,7,5,26,js_5
R_00c2hJMqwfSxgLr,music,0,5,0,3,2,2,2,6,6,6,2,3,6,2,2,3,1,2,2,2,2,2,1,1,1,2,3,2,0,3,1,1,3,6,25,js_5
R_dgTOVUsd7ilupmt,supply,1,3,1,6,3,3,2,3,5,6,1,5,5,3,2,5,5,5,5,5,5,5,4,4,3,3,7,6,0,6,1,1,3,6,21,js_5
R_bDCxmPjZgHH3Nfn,music,1,5,1,5,3,2,3,4,5,6,4,5,5,3,3,4,3,3,2,2,3,3,3,2,4,3,6,6,0,5,1,1,3,3,32,js_5
R_1zb4fFsaoJxZ8eF,supply,0,6,1,7,2,2,2,6,6,7,6,6,7,3,3,1,1,1,1,1,1,1,1,1,2,1,7,7,0,7,0,1,6,6,28,js_5
R_dcH34glliUYfsLr,treatment,0,4,1,2,3,3,3,6,6,6,3,6,3,6,6,5,2,1,3,2,3,3,3,3,2,2,4,4,0,1,0,1,5,6,25,js_5
R_cFOgeq6cOsdsMqV,treatment,0,6,1,5,3,3,3,6,7,7,6,6,6,5,3,3,4,2,2,2,4,4,4,3,3,3,6,5,1,5,1,1,5,6,25,js_5
R_78afjfDxxPYC6tD,music,0,2,0,2,2,2,2,6,6,6,2,6,6,2,2,5,2,4,3,3,4,4,2,2,2,3,4,3,0,2,1,1,3,2,26,js_5
R_2sj9ekjcTXnLYZD,music,0,5,0,5,1,1,1,7,7,7,2,2,6,2,2,5,2,3,2,1,5,5,3,3,3,2,2,2,0,5,0,2,3,2,23,js_5
R_1S6CAgmeLprGxYF,treatment,0,4,0,6,2,2,2,7,7,7,5,6,7,3,4,4,1,3,2,2,3,3,4,4,3,3,7,7,0,6,1,1,3,7,19,js_5
R_ewWXdWBlxuq8a6V,music,0,5,1,5,3,3,3,6,6,7,5,6,4,4,4,3,3,2,3,3,4,4,1,1,3,3,5,5,0,5,0,1,3,5,30,js_5
R_dprviuTanYIAgW9,supply,0,2,1,7,3,2,2,6,6,7,4,4,3,4,3,2,2,2,1,1,2,2,1,1,2,2,6,5,1,7,0,1,6,3,27,js_5
R_1HOqTa9UnR7i74x,treatment,1,3,0,4,2,1,2,7,7,7,6,6,7,5,5,4,3,4,3,2,3,4,4,4,2,2,6,6,0,4,1,1,3,5,19,js_5
R_ezgl0VFtpt4fLHD,treatment,0,5,1,5,3,3,3,6,6,6,2,2,4,5,3,4,5,2,2,3,5,2,3,3,1,2,2,2,1,5,0,1,6,5,45,js_5
R_bIXpEdNxY0UwO5T,music,0,6,1,3,5,4,4,6,7,7,5,5,4,4,6,4,3,3,2,2,3,3,2,1,3,3,7,5,0,3,1,1,6,3,31,js_5
R_dnZbCvwUtN1XgUd,music,0,5,1,7,2,2,2,6,6,6,4,4,6,2,6,2,1,1,1,1,1,1,2,2,4,4,7,7,0,7,0,2,3,4,29,js_5
R_cLQ6AAL2U4XgIQZ,supply,0,4,1,5,5,5,4,5,4,5,5,5,4,5,4,3,2,3,2,2,3,2,1,1,2,2,6,6,0,5,0,1,6,5,43,js_5
R_da0bGACj84eotYp,supply,0,5,1,6,2,2,2,6,6,6,6,5,6,3,3,2,1,2,1,1,2,2,1,1,2,2,6,6,1,6,1,1,6,5,33,js_5
R_bNGkw9lxBByelW5,music,0,5,1,5,4,4,4,6,6,6,2,3,6,3,4,3,3,2,2,2,2,3,1,1,2,2,6,6,0,4,1,1,6,4,27,js_5
R_8JizHGI6HbrAokd,supply,1,2,0,6,3,3,3,6,6,6,5,6,6,3,2,4,3,2,3,3,4,1,1,1,1,1,6,6,0,6,1,1,6,5,20,js_5
R_b3ZLeKmCfbRNhZ3,music,1,2,0,2,4,3,3,7,7,7,7,4,6,5,5,5,4,4,4,4,4,4,1,1,3,3,5,5,0,1,0,1,3,4,21,js_5
R_3wu9seplnkFWySp,treatment,1,5,1,1,2,2,2,5,5,7,1,3,7,3,2,5,3,5,3,3,3,3,5,5,2,2,7,7,0,1,0,1,5,6,30,js_5
R_3Cy8KHPTxNJrLg1,music,1,6,1,6,4,4,4,6,6,6,2,6,2,6,6,2,3,2,3,2,2,2,2,2,3,3,2,3,1,6,1,1,4,2,23,js_5
R_430IAAHZ7jNY4tf,music,0,4,0,6,3,3,3,6,6,6,6,6,5,3,3,2,1,2,1,1,2,1,1,1,2,2,5,5,0,6,0,1,3,5,32,js_5
R_ehNMyCa8K4nkFrT,supply,0,2,0,7,4,4,4,7,7,7,6,5,6,3,2,2,1,1,1,1,3,1,2,2,1,1,6,6,0,7,1,1,7,5,64,js_5
R_4IuFzLieNA47bSJ,treatment,1,3,1,3,1,2,1,7,6,7,3,5,4,6,6,4,5,4,4,3,5,5,5,5,5,5,5,3,1,3,1,1,7,7,30,js_5
R_7X9KFhws9oAcr6R,supply,0,2,0,5,2,2,2,6,7,7,7,4,7,2,1,5,3,5,5,5,5,5,3,3,5,4,7,7,1,5,0,1,2,2,23,js_5
R_agADmAvOqSihLlb,music,0,2,0,3,4,4,4,4,5,6,3,4,6,3,2,1,1,2,1,1,2,2,1,1,1,1,1,1,0,4,0,1,6,4,30,js_5
R_71KluXH0UGUEqEt,treatment,1,4,1,5,5,4,4,7,7,7,5,5,4,5,5,5,5,4,4,3,2,3,3,2,2,3,7,6,0,5,1,1,3,6,21,js_5
