"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","learning_conditions","participant_id","code","last_login","token","first_login","show_validation","survey_id","progress","blocked_nav_count","Q_TotalDuration","testing","open_response_lcs","open_response_q_pool","Q11","Q9_1_TEXT","Q9_2_TEXT","Q9_3_TEXT","Q9_4_TEXT","Q9_5_TEXT","Q9_6_TEXT","Q9_7_TEXT","Q6","Q82","Q7","Q83","Q8","Q84","Q9","Q85","Q21","Q86","Q11.1","Q87","Q12","Q88","Q13","Q89","Q14","Q90","Q23","Q61","Q47","Q71","Q37","Q58","Q68","Q59","Q70","Q65","Q67","Q73","Q93","Q93_TEXT","Q19","Q81_1","Q81_2","Q81_3","Q81_4","Q81_5","Q81_6","Q81_6_TEXT","Q81_7","Q81_9","Q81_10","Q81_11","Q81_15","Q81_16","Q81_17","Q81_18","Q81_19","Q81_20","Q81_21","Q81_22","Q54","Q56","Q78","Q20","LocationLatitude","LocationLongitude","LocationAccuracy","X","Q99","Q102","Q100","Q101","Q103","Q104"
NA,"Default Response Set","Anonymous","","",NA,"0","2019-02-14 05:18:22","2019-02-14 05:22:54","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"bronze garlic","2019-02-14T13:18:25.084Z",NA,"false","true",NA,"100","","272","","[&quot;teacher-caring&quot;]","___tc2_2__","1","Chrome","71.0.3578.127","CrOS x86_64 11151.113.0","1366x768","-1","","Mozilla/5.0 (X11; CrOS x86_64 11151.113.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.127 Safari/537.36","6","","5","","6","","5","","6","","5","","4","","5","Orci elit purus cursus neque laoreet porta efficitur mauris vitae in ut ac. Orci volutpat mauris aliquet praesent quis ante enim. Nisl, nulla scelerisque nisi elit, leo convallis. Convallis magna mauris, sociis egestas. Suspendisse dolor proin leo, nunc pellentesque nascetur, in cum a maximus. Pretium finibus sit, tempor sodales, magna suscipit. Magna magna, ipsum elit risus interdum pulvinar habitant. Turpis sociosqu conubia quisque, lacinia arcu nulla. Primis lectus amet neque ac, accumsan laoreet. Placerat scelerisque pulvinar erat, erat ipsum condimentum tristique. Maximus, ut ex sed elit, curae sed risus sit sit ut! Potenti et viverra consectetur semper duis sit quam vulputate, quis ac est nisi nulla. Aptent at tempus in tortor curae justo mattis.","5","","4","4","","2","2","3","4","2","2","3","4","3","2","Vel hendrerit iaculis viverra ante. Tincidunt ultricies, ullamcorper odio in fringilla phasellus. Pellentesque donec, sed pellentesque nunc euismod eu lorem interdum nisi, nec sociosqu lobortis. In litora praesent penatibus sit tellus in pellentesque magnis phasellus auctor at ac a dui. In dui praesent, vivamus duis lacinia, est id augue curae. Et eleifend ut maecenas ligula eget aenean sed, sollicitudin nunc ante mauris, vestibulum. Et enim pellentesque nunc lobortis congue a euismod nullam. Diam lacus porttitor est, rutrum, imperdiet, lobortis nisi rhoncus nisi. Sit condimentum, venenatis velit maecenas curae nullam tincidunt sed ut potenti. Amet et a vitae, risus vestibulum ac. Eu at torquent amet tempor ligula lorem per consectetur. Tincidunt, orci nec lectus parturient consequat sed proin dis quis. Vitae arcu egestas leo aenean ut at sem mattis malesuada urna, vivamus.","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"3","Nibh interdum suspendisse netus. Cursus sed sed sociosqu nascetur maecenas accumsan maecenas sem. Consectetur ut in laoreet cum. Condimentum nullam lacus nostra, ac viverra, sed eu senectus imperdiet sociis ultricies iaculis etiam. Ac himenaeos congue purus vehicula a. Eu lorem netus ut tincidunt. Vel leo sociis tempus pharetra massa a malesuada, tempor massa magna congue feugiat fermentum.",NA,"6","",""
NA,"Default Response Set","Anonymous","","",NA,"0","2018-08-30 11:35:08","2018-08-30 11:38:03","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"mole clean","2018-08-30T18:35:10.695Z",NA,"false","true",NA,"100","2","174","","[&quot;feedback-for-growth&quot;]","___fg1_2__","1","Chrome","50.0.2661.94","Linux x86_64","360x640","-1","","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36 OPR/37.0.2192.110129","5","","6","","6","","6","","6","","4","","5","","4","","5","","4","5","","1","4","4","3","4","4","5","5","4","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"3","","5","6","",""
NA,"Default Response Set","Anonymous","","",NA,"0","2019-03-26 07:33:02","2019-03-26 07:36:43","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"sharp goose","2019-03-26T14:33:03.226Z",NA,"false","true",NA,"100","1","221","","[&quot;teacher-caring&quot;]","___tc1_2__","1","Chrome","72.0.3626.122","CrOS x86_64 11316.165.0","1300x731","-1","","Mozilla/5.0 (X11; CrOS x86_64 11316.165.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.122 Safari/537.36","7","","4","","6","","7","","7","","6","","6","","6","","6","","5","5","","1","3","5","5","5","5","4","5","4","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"1","","6","1","","Turpis nibh tortor accumsan, non tortor aenean sociis tincidunt, scelerisque luctus nec. Velit sed porta dignissim ante et pretium. Sed elementum litora lectus ac pharetra porttitor sed per ante. Lacinia ac maximus lacinia sed enim conubia maecenas. Quis tristique ac risus commodo. Nisi sed donec rutrum amet sed odio. Lobortis fusce ex vel. Duis tincidunt a ac magnis, dignissim. Donec, suspendisse facilisi cursus tortor quis sit nibh auctor rhoncus. Phasellus justo in nascetur malesuada commodo tristique, sem parturient gravida. Eros enim erat aenean in senectus vel at."
NA,"Default Response Set","Anonymous","","",NA,"0","2019-01-31 12:50:05","2019-01-31 12:55:27","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"sharp goose","2019-01-31T20:50:13.245Z",NA,"false","true",NA,"100","1","322","","[&quot;feedback-for-growth&quot;]","___fg1_2__","1","Chrome","71.0.3578.99","Android 6.0","1280x800","-1","","Mozilla/5.0 (Linux; Android 6.0; RCT6303W87M7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Safari/537.36","7","","7","","7","","","Egestas feugiat ipsum vel, commodo nec tempor maecenas morbi quam. Sed sit donec neque, ipsum urna commodo in. Non libero arcu vehicula accumsan. Rhoncus lobortis arcu ullamcorper libero metus quam cum eros. Praesent, ullamcorper aptent enim, litora in. Suscipit, morbi gravida montes in. Condimentum tempus ut quis sed netus conubia orci lectus, varius. Mauris class pulvinar sit molestie non diam non. Mauris, sem laoreet ligula ac massa feugiat, purus rhoncus erat. Ornare ut magna praesent tincidunt et euismod at ultrices dui, aenean dui. In pulvinar elementum, vel ipsum velit vestibulum. Nulla, blandit, cras mi ante aptent nullam, donec, turpis varius ut.","7","","7","","6","","6","","6","","5","5","","1","4","5","5","4","4","5","5","5","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"2","",NA,"6","","Lacinia sed turpis, amet sed, neque ligula aenean. Blandit mattis id erat eros facilisis non, eu suscipit, nullam. Dolor pulvinar ut vivamus, congue lectus nascetur imperdiet neque ultricies porta. Ante ex. Potenti ut ipsum ac, praesent primis proin ex, luctus. Cubilia cum praesent eget, magna fames dignissim, mattis. Elementum, non ac dapibus, eu mi. Amet quis dis dui, tempor, nostra, tempor. Sit vestibulum nisi libero in, varius justo et primis. Vitae ac, ultrices pulvinar quisque in non, ex aliquam. Sed urna velit id. Sed magna integer urna ac ac ante ridiculus."
NA,"Default Response Set","Anonymous","","",NA,"0","2019-05-03 09:08:03","2019-05-03 09:10:43","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"cow easy","2019-05-03T16:08:03.997Z",NA,"false","",NA,"100","2","160","","[&quot;feedback-for-growth&quot;]","___fg3_2__","1","Safari iPhone","12.1","iPhone","375x667","-1","","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1","6","","6","","7","Maximus erat in vitae. Fames hendrerit ante iaculis metus non ullamcorper malesuada dapibus aptent. Cras nam tempus vitae, integer, commodo, id aliquam amet lacus neque leo nulla tincidunt parturient ligula vitae. Iaculis tempor ac in egestas non, eu. Ut turpis, phasellus tempus ut lectus placerat vestibulum. Hac, non primis turpis lacus. At sodales risus, sed velit erat sed.","5","","5","","4","Mauris taciti dolor turpis tempor. Congue gravida lorem ac ornare eros amet magna ultrices dis nam, accumsan, maximus. Nec lectus et suspendisse. Eros condimentum aenean per est varius in elementum tempor. Mollis in vulputate. Sit maecenas tortor nunc turpis dolor. Ultricies faucibus adipiscing sollicitudin in nulla ipsum sed magna non lacinia nec. Nec amet, id tempor id mauris sociis et augue. Curae adipiscing ligula orci aliquam, sed turpis id magna non eu.","5","","5","","5","","5","5","","","","","","","","","","5","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"2","","5","6","",""
NA,"Default Response Set","Anonymous","","",NA,"0","2019-03-25 06:20:49","2019-03-25 06:25:52","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"hippo ginger","2019-03-25T13:20:51.698Z",NA,"false","true",NA,"100","1","302","","[&quot;feedback-for-growth&quot;]","___fg1_2__","1","Chrome","72.0.3626.122","CrOS x86_64 11316.165.0","1300x731","-1","","Mozilla/5.0 (X11; CrOS x86_64 11316.165.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.122 Safari/537.36","6","","5","","5","","6","","5","Malesuada nulla vel est id dolor amet vel at. Imperdiet, augue mattis placerat risus morbi nisl. Cubilia cursus ultricies quis nascetur eu et taciti, pharetra in, risus! Consectetur, ac potenti curabitur eget magna. Lectus tempor facilisi interdum adipiscing sed nulla. Eu, suscipit nostra, sociis vitae. Nec montes porttitor. Nulla mauris et, auctor tortor volutpat varius egestas est tellus. Tortor diam blandit platea, magnis maximus cras. Ut ut consequat suscipit sem, a, ante id. Enim netus cras, amet in himenaeos montes. Suspendisse facilisi pharetra vitae tempus aliquet id sapien sed felis, maximus mauris.","5","At non. Enim in odio tempor volutpat vel non pellentesque? Dis erat lectus semper sed ridiculus. Erat lobortis dolor lorem ac ultrices vulputate purus. Magnis placerat ligula commodo. Nulla donec viverra habitant enim elementum erat. Eu ipsum sit justo, fusce tristique finibus phasellus pulvinar sit nisl quis, neque. Vel non dui magna nec ligula dui.","6","","6","","4","","2","3","","2","2","3","3","4","4","4","4","4","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"4","","4",NA,"",""
NA,"Default Response Set","Anonymous","","",NA,"0","2019-01-31 16:43:05","2019-01-31 16:58:43","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"goat spinach","2019-02-01T00:43:13.146Z",NA,"false","true",NA,"100","2","938","","[&quot;feedback-for-growth&quot;]","___fg1_2__","1","Chrome","71.0.3578.98","Windows NT 6.3","1366x768","-1","","Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36","7","","4","","5","Commodo, pulvinar, ultricies habitasse taciti potenti bibendum non, mauris vivamus. Efficitur eros lorem quam fames lorem curabitur faucibus maximus phasellus et sed at amet ligula dapibus. Vitae porttitor donec eu vel penatibus felis luctus maecenas sit ac. Purus nec, cum eu ut cras eu commodo. Volutpat libero mattis dictum pretium dui in! Sem sed lectus augue vel et vel leo, mauris lacus ad consequat pretium quis dapibus. Interdum ad lobortis non dui. Mi torquent sapien, justo lectus nisi nec. Erat gravida, massa tempus! Scelerisque eget consequat, ac sapien ante vulputate platea dis. Augue euismod etiam. Montes efficitur et eget ac aliquam auctor ut nostra.","5","","6","","6","","4","","4","","5","","4","4","","3","3","5","5","3","3","4","5","3","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"5","","2","5","",""
NA,"Default Response Set","Anonymous","","",NA,"0","2018-09-13 11:38:25","2018-09-13 11:40:10","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"tiger cheese","2018-09-13T18:38:25.506Z",NA,"false","",NA,"100","1","104","","[&quot;teacher-caring&quot;]","___tc1_2__","1","Chrome","68.0.3440.118","CrOS x86_64 10718.88.2","1366x768","-1","","Mozilla/5.0 (X11; CrOS x86_64 10718.88.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.118 Safari/537.36","7","","6","","6","Porttitor ut eu vestibulum id magna, rhoncus vel, pharetra tellus dolor ligula. Curabitur vestibulum vehicula aenean. Ante vitae. Orci, dignissim vitae neque odio non lacus. Sed taciti eros sit suspendisse odio donec. Metus lorem fermentum, nam est lobortis id varius ut et facilisi? Non mi lacus finibus ac in senectus. Bibendum mi a justo et blandit eget nisl. Magna rutrum luctus montes porta fermentum, sem sem sapien nunc. Ipsum pretium nunc himenaeos mus sit sit. Ac netus ut consectetur leo, quis. Vulputate libero facilisi ante nibh pellentesque id posuere. Varius molestie ultrices feugiat sapien vestibulum, penatibus. Lacus sed in mauris tincidunt imperdiet sit penatibus praesent pellentesque.","6","","5","","5","","5","","5","","4","","4","4","","","","","","","","","","5","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,NA,"Finibus erat integer ipsum egestas at nisi leo quis fringilla. Sollicitudin sit sed tortor morbi quis laoreet. Imperdiet vivamus risus erat lacus quisque aliquet! Sagittis sed auctor sociis, facilisis, vel amet in vitae. Fringilla luctus montes, a ligula. Lacus eu fusce sociis tristique sit augue nec placerat. Conubia mi justo himenaeos urna fermentum odio ex eget sed nisi pellentesque. Fermentum, vitae mattis non quis ultricies, id cubilia nunc sapien. Scelerisque, scelerisque sed, torquent sed ligula nostra tellus nibh ut leo duis ut lacinia eros. Eu vel vivamus.","6","6","","Eros quis mi risus tincidunt eget. Vel litora dui et mauris tempus, nam amet, netus. Sed, mauris, euismod vestibulum arcu at orci platea. Convallis sagittis ipsum ligula sodales sit ut sollicitudin lacinia eget. Justo ac sed sed nascetur, suscipit, enim. Sed nunc turpis et ut dictumst sit id mauris pellentesque dis penatibus justo. Himenaeos lacinia commodo habitasse, etiam sit turpis. Nec eget. Massa in enim enim maximus, massa ut luctus vel. Laoreet tristique fringilla suscipit integer, vitae amet. Vitae vitae malesuada nulla integer sociosqu lacus sodales vitae aliquam."
NA,"Default Response Set","Anonymous","","",NA,"0","2018-08-29 09:29:56","2018-08-29 09:37:57","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"peach blue","2018-08-29T16:29:57.527Z",NA,"true","true",NA,"100","1","481","","[&quot;meaningful-work&quot;]","___mw3_2__","1","Chrome","66.0.3359.158","CrOS armv7l 10452.85.0","1366x768","-1","","Mozilla/5.0 (X11; CrOS armv7l 10452.85.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Safari/537.36","7","","6","","5","","6","","6","","6","","5","","6","","6","","4","5","3","2","3","4","4","4","4","5","5","3","2","","1","","","","","","","","","","","","1","","","","","","","","1","4","","1",NA,NA,NA,NA,"2","",NA,"7","",""
NA,"Default Response Set","Anonymous","","",NA,"0","2018-08-31 10:07:08","2018-08-31 10:13:29","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"tiger icy","2018-08-31T17:07:09.217Z",NA,"true","true",NA,"100","","380","","[&quot;meaningful-work&quot;]","___mw3_2__","1","Chrome","68.0.3440.118","CrOS x86_64 10718.88.2","1366x768","-1","","Mozilla/5.0 (X11; CrOS x86_64 10718.88.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.118 Safari/537.36","7","","6","","6","","5","","5","","6","","5","","5","","5","","4","4","4","2","4","2","2","4","4","5","5","5","2","","1","","","1","","","","","","","","","","","","","","","","","2","5","","1",NA,NA,NA,NA,"4","","5","3","",""
NA,"Default Response Set","Anonymous","","",NA,"0","2018-09-13 09:15:32","2018-09-13 09:17:34","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"crow mushroom","2018-09-13T16:15:32.792Z",NA,"false","",NA,"100","2","121","","[&quot;meaningful-work&quot;]","___mw1_2__","1","Safari iPhone","11.0","iPhone","414x736","-1","","Mozilla/5.0 (iPhone; CPU iPhone OS 11_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1","6","Magna sed euismod enim lacinia dictumst sit lobortis turpis, curabitur. Gravida malesuada, tincidunt lorem, neque et adipiscing, faucibus porttitor. Sollicitudin enim et a maximus aliquam. Finibus sapien arcu sapien fames dis integer eget. Id mi nisl nunc fusce augue suspendisse in. Tincidunt nec sagittis amet dapibus faucibus sed. Mi volutpat sed maecenas ultrices. Vulputate cursus habitasse phasellus placerat primis metus, ante. Litora turpis congue ullamcorper quis, ipsum eget. Sagittis, eu, eros duis conubia turpis cursus. Eu condimentum mattis eget orci, sem. In tellus amet enim quis vel a venenatis nunc, augue mauris aliquam.","5","","6","","7","","6","","5","","4","","4","Metus non arcu porta in est. Eu feugiat enim vehicula, et habitant, id fames. In nulla nulla hendrerit, justo non eros, ac quis. Nibh, et eu faucibus sed lacus. Viverra magna ipsum pellentesque rhoncus tellus lorem ipsum sapien a inceptos. Eget sed etiam facilisis pellentesque mi, augue egestas. Dolor ligula donec dis pretium et amet. Nisl ut in mattis mus tincidunt justo ante tristique. Nec cum quis rutrum tincidunt, quis venenatis varius lacus, nec.","6","","4","4","","","","","","","","","","5","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"3","","7","1","Eu duis conubia. Et potenti quisque nisi habitant litora inceptos ut non nec. In porta commodo lorem donec nisl gravida elementum aenean sodales. Mauris et vitae interdum nunc habitasse habitasse scelerisque facilisis nunc, egestas efficitur nunc morbi. Donec dui justo in dui. Ut pellentesque rutrum, fames ligula. Pellentesque sit sem arcu in dolor vestibulum consequat eu ex tempus cum. Libero tristique egestas commodo ipsum pellentesque. Magnis duis non non proin in, nulla eu. Sociosqu a quis curabitur a curabitur ipsum et. Lectus posuere amet ut faucibus conubia aliquam eu. Nulla volutpat donec sed hac in at in montes. Interdum nibh.",""
NA,"Default Response Set","Anonymous","","",NA,"0","2019-02-20 12:10:00","2019-02-20 12:17:15","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"rat bamboo","2019-02-20T20:10:02.273Z",NA,"true","true",NA,"100","","435","","[&quot;meaningful-work&quot;]","___mw3_2__","1","Chrome","71.0.3578.127","CrOS x86_64 11151.113.0","1241x698","-1","","Mozilla/5.0 (X11; CrOS x86_64 11151.113.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.127 Safari/537.36","6","Quis congue fermentum est, et rutrum! Leo eu aliquam rhoncus senectus vel. Tristique nec hendrerit vel suscipit. Nostra potenti, sed purus eget non sed dictumst suspendisse dapibus. Nunc mauris netus in feugiat ante montes hac. Ut purus pharetra sodales varius. Tempus ante integer duis sed, ac ut nec a eros non, duis! Auctor donec velit, auctor lorem phasellus nunc laoreet. Id vivamus in donec sem lorem donec. Quis mattis adipiscing, quisque at, lacinia sem himenaeos ut mattis in porta pellentesque. Dui lorem convallis in in fermentum pretium himenaeos nisl. Nullam orci et tristique vulputate ac? In turpis, ultricies morbi lacus inceptos porttitor accumsan gravida.","4","","4","Duis id magna ante metus metus ante sollicitudin dolor nec ipsum tortor venenatis in natoque. Interdum tincidunt enim maecenas. Amet ut sed pellentesque ut, ut sagittis, purus montes vitae. Mauris feugiat tincidunt scelerisque nec. Inceptos magnis leo enim. Pellentesque malesuada nam rhoncus phasellus senectus. Mi luctus erat duis diam nec facilisi sociis mi. Condimentum accumsan in congue praesent. Sed ex taciti. Hendrerit a vel sociis non aenean in sed curabitur et ligula class euismod sed. Cum eros lorem, conubia phasellus pretium.","4","","4","","4","","4","","4","Dolor, sit mus at quis nec quam ridiculus neque erat mattis, risus risus volutpat mauris enim. Nullam molestie nunc consectetur dui accumsan eros rhoncus maximus et dui diam. Maximus morbi, venenatis nunc enim. Leo ligula vel arcu nec scelerisque augue augue. Iaculis ut, sollicitudin laoreet cursus a dapibus. Et in euismod amet tincidunt ante, cubilia sociosqu lectus et sed ultrices. Nisi leo curabitur ac, nec. Nam nulla risus amet dapibus eu fermentum fringilla ut amet amet nunc. Efficitur bibendum non velit. Ornare facilisis turpis elit vitae sed vitae vel. Risus dis nec, mollis ac id placerat. Ut purus dictum vel, dui mus sollicitudin gravida suspendisse, maximus. Sem amet a efficitur, gravida cum et. Eget, libero est montes orci commodo odio. Mauris bibendum gravida ac vehicula duis rhoncus eu taciti. Lectus ipsum penatibus gravida massa primis amet ac et donec. Ac amet sit mus ante tellus ac consequat massa.","4","","4","4","3","3","3","3","3","3","3","3","3","3","2","","2","1","1","","","1","","","","","","","","1","","","","","","","1","3","","1",NA,NA,NA,NA,"6","","2","6","","Lorem class turpis non eros sed in, cursus quam diam nunc in. Metus odio urna laoreet luctus tincidunt. Scelerisque, in nunc ut fringilla sed cursus egestas condimentum tempus orci. Vestibulum odio posuere sit, porta sapien porttitor quam posuere ac rhoncus euismod malesuada. Donec maecenas at, in habitant nam. Curabitur commodo, hac lorem nullam suspendisse nam sed gravida blandit risus ipsum, urna. Mus nulla quis in lobortis ligula sed. In efficitur felis cum consequat nam taciti. Ac id vel neque lacus efficitur lobortis. Lorem sed non etiam varius. Mus tellus leo at mauris."
NA,"Default Response Set","Anonymous","","",NA,"0","2019-05-17 11:29:20","2019-05-17 11:30:24","1","[&quot;teacher-caring&quot;]",NA,"wolf huge","2019-05-17T18:29:27.542Z",NA,"false","true",NA,"100","","63","","[]","_","1","Chrome","71.0.3578.127","CrOS x86_64 11151.113.0","1366x768","-1","","Mozilla/5.0 (X11; CrOS x86_64 11151.113.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.127 Safari/537.36","5","","6","","5","","","","","Parturient et ut nunc, id vitae, risus mattis suscipit habitant sed. Quam primis nec vel finibus. Malesuada consectetur feugiat facilisi mollis, phasellus conubia pellentesque dui vitae eros. Leo ac aptent quam lacus id. Fusce hendrerit eros, mi ac porttitor. Hac, condimentum sed magna, ut libero arcu, ligula in, euismod cum. Tempus quisque montes nulla id, massa interdum quis. Nunc efficitur vulputate, blandit et sed himenaeos? Cubilia montes lacus sit. Luctus felis, rutrum ultrices, enim, magna risus consectetur.","","","","","","","","","4","4","","4","3","4","4","4","4","4","4","4","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"7","","2","5","","Nulla laoreet ac eu velit ac imperdiet. Pretium velit, vel habitasse rhoncus diam semper purus commodo. Finibus quisque sociis sit mauris himenaeos arcu a ex. Tempor amet tortor mauris euismod bibendum. Id per, dui at. Sed ipsum, non cum in et sed. Libero justo in aliquam tortor commodo dis venenatis ut dictum. Vitae, efficitur justo ut sapien a euismod ipsum cum praesent in. Vel interdum efficitur ultricies pulvinar."
NA,"Default Response Set","Anonymous","","",NA,"0","2018-08-31 14:43:43","2018-08-31 14:47:56","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"gold mole","2018-08-31T21:43:45.279Z",NA,"true","true",NA,"100","1","252","","[&quot;feedback-for-growth&quot;]","___fg3_2__","1","Chrome","55.0.2883.91","Android 6.0.1","1080x1920","-1","","Mozilla/5.0 (Linux; Android 6.0.1; SM-G900V Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.91 Mobile Safari/537.36","7","","7","Magnis blandit ut tortor luctus metus etiam justo inceptos class turpis pulvinar felis finibus nec. Auctor mus in nisl in. Ligula, pretium vestibulum egestas curae euismod arcu ligula sed venenatis diam non mauris. Ullamcorper, torquent ac, leo ut vitae vulputate a magnis. Ut rutrum est maximus. In, auctor platea pretium. Primis tellus, est praesent eu quis pellentesque augue. Et suspendisse mauris vitae donec consectetur ut eleifend non pulvinar. Ad ipsum eget habitant. Et tellus id in. Porttitor accumsan aliquam rhoncus non finibus tincidunt a lectus sociis montes quam himenaeos. Blandit, ornare, scelerisque lacus primis ex ut erat rhoncus. Magnis pulvinar mi sodales sed iaculis himenaeos, sociosqu hendrerit rhoncus amet.","7","","6","","5","","5","","4","","5","","5","","3","4","3","2","3","3","2","4","3","4","4","3","2","","1","","","1","","","","","","","","","","","","","","","","","1","5","","1",NA,NA,NA,NA,"5","",NA,"6","",""
NA,"Default Response Set","Anonymous","","",NA,"0","2018-09-13 11:36:21","2018-09-13 11:38:49","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"mushroom forest","2018-09-13T18:36:22.425Z",NA,"false","",NA,"100","","147","","[&quot;teacher-caring&quot;]","___tc1_2__","1","Safari iPhone","11.0","iPhone","320x568","-1","","Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1","6","","4","","4","","4","","6","","5","","4","","5","","4","","3","4","","","","","","","","","","3","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"2","",NA,"2","",""
NA,"Default Response Set","Anonymous","","",NA,"0","2018-09-13 15:14:59","2018-09-13 15:17:29","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"sky egg","2018-09-13T22:15:00.336Z",NA,"false","",NA,"100","","149","","[&quot;meaningful-work&quot;]","___mw3_2__","1","Safari iPhone","Unknown","iPhone","320x568","-1","","Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.34 (KHTML, like Gecko) GSA/57.0.209471814 Mobile/15A372 Safari/604.1","7","","6","","6","","5","","6","","6","","4","","5","","4","","4","4","","","","","","","","","","4","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"5","","1","4","",""
NA,"Default Response Set","Anonymous","","",NA,"0","2018-11-08 05:46:29","2018-11-08 05:48:43","1","[&quot;feedback-for-growth&quot;,&quot;meaningful-work&quot;,&quot;teacher-caring&quot;]",NA,"good eagle","2018-11-08T13:46:31.965Z",NA,"false","true",NA,"100","2","133","","[&quot;teacher-caring&quot;]","___tc1_2__","1","Chrome","69.0.3497.120","CrOS x86_64 10895.78.0","1366x768","-1","","Mozilla/5.0 (X11; CrOS x86_64 10895.78.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.120 Safari/537.36","7","","7","","7","","7","","7","","7","","7","","7","Fringilla sociis odio. In at, eget felis in condimentum maecenas dolor, consectetur quam. At, magna interdum dignissim at eu felis tellus. Quis non justo maecenas. Dis eget sagittis in lacinia non turpis sed eleifend. Lorem ut sem aliquet mi in cras? Congue neque pellentesque metus netus tempor, massa urna purus cubilia ipsum. Enim, mauris lorem elementum in.","7","","5","5","","1","3","5","5","5","5","5","5","5","2","","","","","","","","","","","","","","","","","","","","","","","","","1",NA,NA,NA,NA,"5","","5","2","",""
